WKT;establecim;sector;dependenci;calle;nro;modalidad;oferta
"POINT (-31.3921086443059 -64.9230281334652)";PIO ZARATE;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Jardín de infantes
"POINT (-31.3921086443059 -64.9230281334652)";PIO ZARATE;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Primaria de 6 años
"POINT (-63.25012858 -32.4171060799925)";ESCUELA SUPERIOR DE BELLAS ARTES EMILIANO GOMEZ CLARA;Estatal;Provincial;RAWSON;"1651";Común;Común - SNU
"POINT (-63.25012858 -32.4171060799925)";ESCUELA SUPERIOR DE BELLAS ARTES EMILIANO GOMEZ CLARA;Estatal;Provincial;RAWSON;"1651";Común;Artistica
"POINT (-33.5855711140478 -64.097673789889)";JOSE DE SAN MARTIN;Estatal;Provincial;RUTA E 86;;Común;Común - Jardín de infantes
"POINT (-33.5855711140478 -64.097673789889)";JOSE DE SAN MARTIN;Estatal;Provincial;RUTA E 86;;Común;Común - Primaria de 6 años
"POINT (-33.4028719170667 -64.5331965067643)";GABRIELA MISTRAL;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Jardín de infantes
"POINT (-33.4028719170667 -64.5331965067643)";GABRIELA MISTRAL;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Primaria de 6 años
"POINT (-63.1080014 -32.3485850999924)";DOMINGO FAUSTINO SARMIENTO;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Jardín de infantes
"POINT (-63.1080014 -32.3485850999924)";DOMINGO FAUSTINO SARMIENTO;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Primaria de 6 años
"POINT (-63.23206852 -32.3563817299924)";CRISTOBAL COLON;Estatal;Provincial;PROLONG.CALLE BS.AS.;;Común;Común - Jardín de infantes
"POINT (-63.23206852 -32.3563817299924)";CRISTOBAL COLON;Estatal;Provincial;PROLONG.CALLE BS.AS.;;Común;Común - Primaria de 6 años
"POINT (-30.7756751264918 -64.5435234912067)";C.E.N.M.A. LA FALDA ANEXO SEDE CHARBONIER;Estatal;Provincial;CALLE PUBLICA;;Adultos;Adultos - Secundaria Completa
"POINT (-63.24920978 -32.4129313299924)";C.E.N.M.A. Nº 96;Estatal;Provincial;SANTA FE;"643";Adultos;Adultos - Secundaria Completa
"POINT (-63.24920978 -32.4129313299924)";C.E.N.M.A. Nº 96;Estatal;Provincial;SANTA FE;"643";Adultos;Adultos - Formación Profesional
"POINT (-63.2560449 -32.3949586299924)";C.E.N.M.A. N° 96 - ANEXO UNIDAD PENITENC.N° 5;Estatal;Provincial;GENERAL DEHEZA;"1100";Adultos;Adultos - Secundaria Completa
"POINT (-63.2560449 -32.3949586299924)";C.E.N.M.A. N° 96 - ANEXO UNIDAD PENITENC.N° 5;Estatal;Provincial;GENERAL DEHEZA;"1100";Adultos;Adultos - Formación Profesional
"POINT (-63.239676 -32.4088299999924)";C.E.N.M.A. Nº 96 ANEXO SEDE C.E.C;Estatal;Provincial;BUENOS AIRES;"1341";Adultos;Adultos - Secundaria Completa
"POINT (-63.23203806 -32.4191352399924)";J.DE INF. GENERAL SAN MARTIN;Estatal;Provincial;CARLOS PELLEGRINI;"1050";Común;Común - Jardín de infantes
"POINT (-63.23849311 -32.4036320299924)";ESCUELA FLORENTINO AMEGHINO;Estatal;Provincial;SAN JUAN;"1794";Común;Común - Primaria de 6 años
"POINT (-63.25606291 -32.3949814399924)";C.E.N.P.A. SERVICIO PENITENCIARIO Nº5 B;Estatal;Provincial;GENERAL DEHEZA;"1100";Adultos;Adultos - Primaria
"POINT (-63.24215202 -32.3955306699924)";ESCUELA SUPERIOR INTEGRAL DE LECHERIA;Privado;Provincial;RAWSON;"1899";Común;Común - SNU
"POINT (-63.2407896 -32.3946861999924)";J.DE INF. JUANA MANSO;Estatal;Provincial;RAWSON;"2125";Común;Común - Jardín de infantes
"POINT (-63.22935436 -32.4041893299924)";I.P.E.T. Nº 56 ABRAHAM JUAREZ;Estatal;Provincial;FORMOSA S/N;;Común;Común - Secundaria Completa req. 6 años
"POINT (-63.226656 -32.4124239999924)";COLEGIO MARIANO MORENO;Privado;Provincial;MANUEL ANSELMO OCAMPO;"1836";Común;Común - Primaria de 6 años
"POINT (-63.228422 -32.4138389999924)";J.DE INF. MARIANO MORENO;Privado;Provincial;LAMADRID;"813";Común;Común - Jardín de infantes
"POINT (-63.2471 -32.4116999999924)";INSTITUTO SAN ANTONIO;Privado;Provincial;AVENIDA  GOBERNADOR  SABATTINI;"141";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.2495 -32.4048999999924)";INSTITUTO LA SANTISIMA TRINIDAD;Privado;Provincial;BV. VELEZ SARSFIELD;"1072";Común;Común - Secundaria Completa req. 6 años
"POINT (-63.24119382 -32.3945607999924)";ESCUELA JUANA MANSO;Estatal;Provincial;RAWSON;"2125";Común;Común - Primaria de 6 años
"POINT (-63.24525059 -32.4041165699924)";ESCUELA REPUBLICA DEL PARAGUAY;Estatal;Provincial;CHILE;"565";Común;Común - Primaria de 6 años
"POINT (-63.21427203 -32.4073352299925)";ESCUELA JOSE MANUEL ESTRADA;Estatal;Provincial;CARTAGENA;"570";Común;Común - Primaria de 6 años
"POINT (-63.21430976 -32.4071974999924)";J.DE INF. JOSE MANUEL ESTRADA;Estatal;Provincial;CARTAGENA;"570";Común;Común - Jardín de infantes
"POINT (-63.2304 -32.4030999999924)";J.DE INF. DR. NICOLAS AVELLANEDA;Estatal;Provincial;BUENOS AIRES;"2314";Común;Común - Jardín de infantes
"POINT (-63.2304 -32.4030999999924)";ESCUELA NOCTURNA DR. RICARDO ROJAS;Estatal;Provincial;BUENOS AIRES;"2314";Adultos;Adultos - Primaria
"POINT (-63.24325857 -32.4091815699924)";J.DE INF. JOSE INGENIEROS;Estatal;Provincial;SANTA FE;"1243";Común;Común - Jardín de infantes
"POINT (-63.24345985 -32.4092898799924)";ESCUELA JOSE INGENIEROS;Estatal;Provincial;SANTA FE;"1217";Común;Común - Primaria de 6 años
"POINT (-63.17900347 -32.3713954399924)";ESCUELA FRAY ANSELMO CHIANEA;Estatal;Provincial;CALLE PUBLICA;;Común;Común - Primaria de 6 años
"POINT (-63.24650905 -32.4177412199925)";J.DE INF. DR. JOSE BIANCO;Estatal;Provincial;MENDOZA;"552";Común;Común - Jardín de infantes
"POINT (-63.255071 -32.4068849999924)";ESCUELA DALMACIO VELEZ SARSFIELD;Estatal;Provincial;ESTADOS UNIDOS;"775";Común;Común - Primaria de 6 años
"POINT (-63.2556482 -32.4069880899925)";J.DE INF. DR. DALMACIO VELEZ SARSFIELD;Estatal;Provincial;ESTADOS UNIDOS;"775";Común;Común - Jardín de infantes
"POINT (-63.25488845 -32.4134565499925)";J.DE INF. JOSE MARMOL;Estatal;Provincial;COLOMBIA;"308";Común;Común - Jardín de infantes
"POINT (-63.25421927 -32.4130956599925)";ESCUELA JOSE MARMOL;Estatal;Provincial;NACIONES UNIDAS;"385";Común;Común - Primaria de 6 años
